Step,x-coordinate,y-coordinate,Actions
1,0,0,F
2,0,1,F
3,0,2,RRF
4,0,1,F
5,0,0,LF
6,1,0,LF
7,1,1,RRF
8,1,0,LF
9,2,0,LF
10,2,1,RRF
11,2,0,LF
12,3,0,LF
13,3,1,RRF
14,3,0,LF
15,4,0,LF
16,4,1,F
17,4,2,RF
18,5,2,RF
19,5,1,LF
20,6,1,LF
21,6,2,F
22,6,3,RF
23,7,3,F
24,8,3,F
25,9,3,LF
26,9,4,LF
27,8,4,F
28,7,4,F
29,6,4,RRF
30,7,4,LF
31,7,5,LF
32,6,5,F
33,5,5,LF
34,5,4,F
35,5,3,RRF
36,5,4,F
37,5,5,F
38,5,6,LF
39,4,6,LF
40,4,5,F
41,4,4,RRF
42,4,5,LF
43,3,5,F
44,2,5,LF
45,2,4,RF
46,1,4,F
47,0,4,LF
48,0,3,LF
49,1,3,F
50,2,3,F
51,3,3,LF
52,3,4,RRF
53,3,3,LF
54,4,3,RRF
55,3,3,F
56,2,3,F
57,1,3,LF
58,1,2,LF
59,2,2,F
60,3,2,RRF
61,2,2,F
62,1,2,RF
63,1,3,LF
64,0,3,RF
65,0,4,RF
66,1,4,F
67,2,4,LF
68,2,5,LF
69,1,5,RF
70,1,6,LF
71,0,6,LF
72,0,5,RRF
73,0,6,F
74,0,7,RRF
75,0,6,LF
76,1,6,LF
77,1,7,RRF
78,1,6,F
79,1,5,LF
80,2,5,F
81,3,5,F
82,4,5,LF
83,4,6,LF
84,3,6,F
85,2,6,RF
86,2,7,F
87,2,8,RRF
88,2,7,LF
89,3,7,LF
90,3,8,F
91,3,9,LF
92,2,9,F
93,1,9,LF
94,1,8,RRF
95,1,9,LF
96,0,9,LF
97,0,8,RRF
98,0,9,F
99,0,10,RRF
100,0,9,LF
101,1,9,F
102,2,9,F
103,3,9,RF
104,3,8,F
105,3,7,LF
106,4,7,RRF
107,3,7,F
108,2,7,LF
109,2,6,LF
110,3,6,F
111,4,6,F
112,5,6,LF
113,5,7,F
114,5,8,RRF
115,5,7,F
116,5,6,F
117,5,5,LF
118,6,5,LF
119,6,6,RRF
120,6,5,LF
121,7,5,LF
122,7,6,RRF
123,7,5,LF
124,8,5,LF
125,8,6,RF
126,9,6,F
127,10,6,LF
128,10,7,LF
129,9,7,RRF
130,10,7,LF
131,10,8,LF
132,9,8,F
133,8,8,LF
134,8,7,RF
135,7,7,RRF
136,8,7,LF
137,8,8,RF
138,9,8,LF
139,9,9,F
140,9,10,LF
141,8,10,LF
142,8,9,RRF
143,8,10,RF
144,9,10,F
145,10,10,LF
146,10,11,LF
147,9,11,F
148,8,11,F
149,7,11,F
150,6,11,LF
151,6,10,LF
152,7,10,RRF
153,6,10,LF
154,6,9,F
155,6,8,LF
156,7,8,LF
157,7,9,RRF
158,7,8,RF
159,6,8,LF
160,6,7,RRF
161,6,8,F
162,6,9,F
163,6,10,LF
164,5,10,LF
165,5,9,RF
166,4,9,LF
167,4,8,RRF
168,4,9,RF
169,5,9,LF
170,5,10,LF
171,4,10,F
172,3,10,F
173,2,10,F
174,1,10,RRF
175,2,10,LF
176,2,11,RRF
177,2,10,LF
178,3,10,F
179,4,10,LF
180,4,11,LF
181,3,11,RRF
182,4,11,RF
183,4,10,LF
184,5,10,F
185,6,10,LF
186,6,11,F
187,6,12,LF
188,5,12,LF
189,5,11,RRF
190,5,12,RF
191,6,12,RF
192,6,11,LF
193,7,11,F
194,8,11,LF
195,8,12,F
196,8,13,F
197,8,14,LF
198,7,14,F
199,6,14,RRF
200,7,14,LF
201,7,15,LF
202,6,15,RRF
203,7,15,F
204,8,15,LF
205,8,16,RRF
206,8,15,RF
207,7,15,LF
208,7,14,LF
209,8,14,RF
210,8,13,F
211,8,12,F
212,8,11,LF
213,9,11,F
214,10,11,F
215,11,11,LF
216,11,12,LF
217,10,12,F
218,9,12,RRF
219,10,12,F
220,11,12,LF
221,11,13,LF
222,10,13,RF
223,10,14,RRF
224,10,13,LF
225,11,13,LF
226,11,14,RF
227,12,14,RRF
228,11,14,LF
229,11,13,LF
230,12,13,F
231,13,13,RF
232,13,12,LF
233,14,12,F
234,15,12,LF
235,15,13,RRF
236,15,12,RF
237,14,12,F
238,13,12,RF
239,13,13,LF
240,12,13,LF
241,12,12,RRF
242,12,13,LF
243,11,13,LF
244,11,12,F
245,11,11,LF
246,12,11,RRF
247,11,11,F
248,10,11,LF
249,10,10,F
250,10,9,LF
251,11,9,F
252,12,9,LF
253,12,10,LF
254,11,10,RRF
255,12,10,F
256,13,10,LF
257,13,11,RRF
258,13,10,LF
259,14,10,RF
260,14,9,LF
261,15,9,RRF
262,14,9,RF
263,14,10,LF
264,13,10,LF
265,13,9,F
266,13,8,LF
267,14,8,RF
268,14,7,F
269,14,6,RRF
270,14,7,F
271,14,8,LF
272,13,8,RF
273,13,9,F
274,13,10,LF
275,12,10,LF
276,12,9,RF
277,11,9,F
278,10,9,RF
279,10,10,LF
280,9,10,LF
281,9,9,F
282,9,8,LF
283,10,8,F
284,11,8,F
285,12,8,RF
286,12,7,LF
287,13,7,RF
288,13,6,F
289,13,5,LF
290,14,5,RF
291,14,4,LF
292,15,4,F
293,16,4,F
294,17,4,LF
295,17,5,RF
296,18,5,RRF
297,17,5,LF
298,17,4,F
299,17,3,LF
300,18,3,F
301,19,3,LF
302,19,4,LF
303,18,4,RRF
304,19,4,LF
305,19,5,F
306,19,6,LF
307,18,6,F
308,17,6,F
309,16,6,F
310,15,6,LF
311,15,5,LF
312,16,5,RRF
313,15,5,RF
314,15,6,F
315,15,7,F
316,15,8,RRF
317,15,7,F
318,15,6,LF
319,16,6,LF
320,16,7,RRF
321,16,6,LF
322,17,6,F
323,18,6,LF
324,18,7,LF
325,17,7,RF
326,17,8,LF
327,16,8,RRF
328,17,8,F
329,18,8,LF
330,18,9,LF
331,17,9,F
332,16,9,RRF
333,17,9,F
334,18,9,RF
335,18,8,LF
336,19,8,LF
337,19,9,F
338,19,10,RF
339,20,10,RF
340,20,9,RRF
341,20,10,LF
342,19,10,LF
343,19,9,F
344,19,8,LF
345,20,8,RF
346,20,7,LF
347,21,7,RRF
348,20,7,RF
349,20,8,LF
350,19,8,F
351,18,8,F
352,17,8,LF
353,17,7,LF
354,18,7,F
355,19,7,RRF
356,18,7,LF
357,18,6,LF
358,19,6,F
359,20,6,F
360,21,6,F
361,22,6,LF
362,22,7,RRF
363,22,6,LF
364,23,6,LF
365,23,7,RF
366,24,7,F
367,25,7,LF
368,25,8,RRF
369,25,7,LF
370,26,7,F
371,27,7,LF
372,27,8,F
373,27,9,LF
374,26,9,LF
375,26,8,RRF
376,26,9,RF
377,27,9,RF
378,27,8,LF
379,28,8,F
380,29,8,LF
381,29,9,F
382,29,10,RRF
383,29,9,F
384,29,8,RF
385,28,8,F
386,27,8,LF
387,27,7,LF
388,28,7,F
389,29,7,F
390,30,7,LF
391,30,8,RF
392,31,8,LF
393,31,9,LF
394,30,9,RF
395,30,10,RRF
396,30,9,LF
397,31,9,LF
398,31,10,F
399,31,11,F
400,31,12,LF
401,30,12,F
402,29,12,F
403,28,12,LF
404,28,11,LF
405,29,11,F
406,30,11,RRF
407,29,11,F
408,28,11,RF
409,28,12,LF
410,27,12,LF
411,27,11,F
412,27,10,LF
413,28,10,RF
414,28,9,RRF
415,28,10,LF
416,27,10,RF
417,27,11,F
418,27,12,LF
419,26,12,LF
420,26,11,RF
421,25,11,F
422,24,11,RRF
423,25,11,F
424,26,11,LF
425,26,12,LF
426,25,12,F
427,24,12,F
428,23,12,LF
429,23,11,F
430,23,10,F
431,23,9,LF
432,24,9,LF
433,24,10,RF
434,25,10,F
435,26,10,RRF
436,25,10,LF
437,25,9,RRF
438,25,10,LF
439,24,10,LF
440,24,9,F
441,24,8,RF
442,23,8,RRF
443,24,8,LF
444,24,9,LF
445,23,9,F
446,22,9,LF
447,22,8,RRF
448,22,9,LF
449,21,9,LF
450,21,8,RRF
451,21,9,RF
452,22,9,LF
453,22,10,LF
454,21,10,RRF
455,22,10,RF
456,22,9,LF
457,23,9,LF
458,23,10,F
459,23,11,LF
460,22,11,F
461,21,11,RF
462,21,12,F
463,21,13,LF
464,20,13,LF
465,20,12,RF
466,19,12,LF
467,19,11,LF
468,20,11,RRF
469,19,11,RF
470,19,12,LF
471,18,12,LF
472,18,11,F
473,18,10,RRF
474,18,11,LF
475,17,11,LF
476,17,10,RF
477,16,10,F
478,15,10,RF
479,15,11,LF
480,14,11,RRF
481,15,11,F
482,16,11,RRF
483,15,11,LF
484,15,10,LF
485,16,10,F
486,17,10,LF
487,17,11,RF
488,18,11,LF
489,18,12,RF
490,19,12,LF
491,19,13,LF
492,18,13,F
493,17,13,F
494,16,13,LF
495,16,12,LF
496,17,12,RRF
497,16,12,RF
498,16,13,RF
499,17,13,LF
500,17,14,LF
501,16,14,RRF
502,17,14,LF
503,17,15,F
504,17,16,LF
505,16,16,RRF
506,17,16,RF
507,17,15,LF
508,18,15,LF
509,18,16,F
510,18,17,F
511,18,18,LF
512,17,18,LF
513,17,17,RF
514,16,17,F
515,15,17,LF
516,15,16,RF
517,14,16,LF
518,14,15,LF
519,15,15,F
520,16,15,RRF
521,15,15,LF
522,15,14,RRF
523,15,15,LF
524,14,15,LF
525,14,14,F
526,14,13,RRF
527,14,14,F
528,14,15,LF
529,13,15,LF
530,13,14,RRF
531,13,15,LF
532,12,15,F
533,11,15,F
534,10,15,RRF
535,11,15,F
536,12,15,F
537,13,15,LF
538,13,16,LF
539,12,16,F
540,11,16,RRF
541,12,16,F
542,13,16,LF
543,13,17,LF
544,12,17,RRF
545,13,17,RF
546,13,16,F
547,13,15,LF
548,14,15,LF
549,14,16,F
550,14,17,RRF
551,14,16,LF
552,15,16,LF
553,15,17,RF
554,16,17,F
555,17,17,LF
556,17,18,LF
557,16,18,RF
558,16,19,F
559,16,20,LF
560,15,20,LF
561,15,19,F
562,15,18,RF
563,14,18,RRF
564,15,18,LF
565,15,19,F
566,15,20,LF
567,14,20,RRF
568,15,20,F
569,16,20,LF
570,16,21,LF
571,15,21,F
572,14,21,F
573,13,21,LF
574,13,20,F
575,13,19,LF
576,14,19,RRF
577,13,19,F
578,12,19,LF
579,12,18,LF
580,13,18,RRF
581,12,18,F
582,11,18,RRF
583,12,18,LF
584,12,19,LF
585,11,19,RRF
586,12,19,F
587,13,19,LF
588,13,20,LF
589,12,20,F
590,11,20,RRF
591,12,20,F
592,13,20,LF
593,13,21,LF
594,12,21,F
595,11,21,RRF
596,12,21,F
597,13,21,LF
598,13,22,LF
599,12,22,F
600,11,22,RF
601,11,23,F
602,11,24,LF
603,10,24,RRF
604,11,24,F
605,12,24,RF
606,12,23,LF
607,13,23,LF
608,13,24,F
609,13,25,LF
610,12,25,RF
611,12,26,LF
612,11,26,LF
613,11,25,RRF
614,11,26,F
615,11,27,LF
616,10,27,RRF
617,11,27,LF
618,11,28,LF
619,10,28,RF
620,10,29,F
621,10,30,F
622,10,31,LF
623,9,31,LF
624,9,30,F
625,9,29,RF
626,8,29,RRF
627,9,29,LF
628,9,30,LF
629,8,30,RRF
630,9,30,LF
631,9,31,RF
632,10,31,LF
633,10,32,F
634,10,33,F
635,10,34,LF
636,9,34,F
637,8,34,LF
638,8,33,LF
639,9,33,RF
640,9,32,RRF
641,9,33,LF
642,8,33,RF
643,8,34,LF
644,7,34,LF
645,7,33,F
646,7,32,LF
647,8,32,RRF
648,7,32,RF
649,7,33,F
650,7,34,LF
651,6,34,F
652,5,34,F
653,4,34,LF
654,4,33,LF
655,5,33,RF
656,5,32,LF
657,6,32,LF
658,6,33,RRF
659,6,32,F
660,6,31,LF
661,7,31,F
662,8,31,RRF
663,7,31,F
664,6,31,RF
665,6,32,LF
666,5,32,LF
667,5,31,F
668,5,30,LF
669,6,30,RRF
670,5,30,LF
671,5,29,RRF
672,5,30,LF
673,4,30,LF
674,4,29,F
675,4,28,LF
676,5,28,F
677,6,28,LF
678,6,29,RF
679,7,29,LF
680,7,30,RRF
681,7,29,RF
682,6,29,LF
683,6,28,F
684,6,27,LF
685,7,27,LF
686,7,28,RRF
687,7,27,LF
688,8,27,RRF
689,7,27,LF
690,7,26,LF
691,8,26,F
692,9,26,LF
693,9,27,F
694,9,28,LF
695,8,28,RRF
696,9,28,RF
697,9,27,F
698,9,26,LF
699,10,26,RRF
700,9,26,LF
701,9,25,LF
702,10,25,RRF
703,9,25,LF
704,9,24,RRF
705,9,25,F
706,9,26,LF
707,8,26,F
708,7,26,LF
709,7,25,LF
710,8,25,RF
711,8,24,F
712,8,23,LF
713,9,23,F
714,10,23,RF
715,10,22,RRF
716,10,23,LF
717,9,23,LF
718,9,22,F
719,9,21,RF
720,8,21,LF
721,8,20,LF
722,9,20,F
723,10,20,LF
724,10,21,RRF
725,10,20,RF
726,9,20,F
727,8,20,LF
728,8,19,LF
729,9,19,RRF
730,8,19,LF
731,8,18,LF
732,9,18,F
733,10,18,LF
734,10,19,RRF
735,10,18,RF
736,9,18,F
737,8,18,LF
738,8,17,LF
739,9,17,F
740,10,17,F
741,11,17,RRF
742,10,17,LF
743,10,16,RRF
744,10,17,LF
745,9,17,LF
746,9,16,F
747,9,15,F
748,9,14,F
749,9,13,RRF
750,9,14,F
751,9,15,F
752,9,16,F
753,9,17,LF
754,8,17,RF
755,8,18,LF
756,7,18,RRF
757,8,18,LF
758,8,19,LF
759,7,19,F
760,6,19,F
761,5,19,F
762,4,19,F
763,3,19,RRF
764,4,19,LF
765,4,20,LF
766,3,20,RRF
767,4,20,RF
768,4,19,LF
769,5,19,F
770,6,19,LF
771,6,20,LF
772,5,20,RF
773,5,21,LF
774,4,21,F
775,3,21,RRF
776,4,21,F
777,5,21,LF
778,5,22,RF
779,6,22,LF
780,6,23,F
781,6,24,F
782,6,25,LF
783,5,25,F
784,4,25,LF
785,4,24,RF
786,3,24,LF
787,3,23,LF
788,4,23,F
789,5,23,LF
790,5,24,RRF
791,5,23,RF
792,4,23,LF
793,4,22,RRF
794,4,23,LF
795,3,23,LF
796,3,22,RF
797,2,22,F
798,1,22,LF
799,1,21,LF
800,2,21,RRF
801,1,21,LF
802,1,20,LF
803,2,20,RRF
804,1,20,LF
805,1,19,LF
806,2,19,RF
807,2,18,LF
808,3,18,F
809,4,18,RF
810,4,17,LF
811,5,17,LF
812,5,18,RF
813,6,18,RF
814,6,17,F
815,6,16,LF
816,7,16,LF
817,7,17,RRF
818,7,16,RF
819,6,16,RF
820,6,17,F
821,6,18,LF
822,5,18,LF
823,5,17,F
824,5,16,RF
825,4,16,RRF
826,5,16,LF
827,5,17,LF
828,4,17,F
829,3,17,LF
830,3,16,RF
831,2,16,LF
832,2,15,F
833,2,14,LF
834,3,14,RRF
835,2,14,F
836,1,14,LF
837,1,13,LF
838,2,13,F
839,3,13,F
840,4,13,LF
841,4,14,RRF
842,4,13,LF
843,5,13,LF
844,5,14,F
845,5,15,LF
846,4,15,F
847,3,15,RRF
848,4,15,F
849,5,15,RF
850,5,14,F
851,5,13,LF
852,6,13,F
853,7,13,RF
854,7,12,RRF
855,7,13,LF
856,6,13,F
857,5,13,F
858,4,13,LF
859,4,12,RF
860,3,12,F
861,2,12,F
862,1,12,LF
863,1,11,RF
864,0,11,RF
865,0,12,RRF
866,0,11,LF
867,1,11,LF
868,1,12,RF
869,2,12,F
870,3,12,F
871,4,12,LF
872,4,13,LF
873,3,13,F
874,2,13,F
875,1,13,RF
876,1,14,LF
877,0,14,LF
878,0,13,RRF
879,0,14,F
880,0,15,F
881,0,16,F
882,0,17,RRF
883,0,16,LF
884,1,16,RRF
885,0,16,LF
886,0,15,F
887,0,14,LF
888,1,14,F
889,2,14,LF
890,2,15,LF
891,1,15,RRF
892,2,15,LF
893,2,16,RF
894,3,16,LF
895,3,17,LF
896,2,17,RRF
897,3,17,F
898,4,17,LF
899,4,18,LF
900,3,18,F
901,2,18,RF
902,2,19,LF
903,1,19,LF
904,1,18,F
905,1,17,RRF
906,1,18,F
907,1,19,LF
908,0,19,LF
909,0,18,RRF
910,0,19,F
911,0,20,F
912,0,21,RRF
913,0,20,F
914,0,19,LF
915,1,19,LF
916,1,20,F
917,1,21,F
918,1,22,LF
919,0,22,RF
920,0,23,F
921,0,24,F
922,0,25,RRF
923,0,24,LF
924,1,24,LF
925,1,25,F
926,1,26,LF
927,0,26,RRF
928,1,26,RF
929,1,25,LF
930,2,25,RRF
931,1,25,LF
932,1,24,F
933,1,23,RRF
934,1,24,LF
935,0,24,LF
936,0,23,F
937,0,22,LF
938,1,22,F
939,2,22,F
940,3,22,LF
941,3,23,LF
942,2,23,RRF
943,3,23,LF
944,3,24,LF
945,2,24,RRF
946,3,24,F
947,4,24,LF
948,4,25,LF
949,3,25,RRF
950,4,25,LF
951,4,26,LF
952,3,26,RF
953,3,27,LF
954,2,27,LF
955,2,26,RRF
956,2,27,LF
957,1,27,F
958,0,27,RF
959,0,28,RF
960,1,28,LF
961,1,29,RRF
962,1,28,LF
963,2,28,F
964,3,28,RRF
965,2,28,F
966,1,28,F
967,0,28,LF
968,0,27,LF
969,1,27,F
970,2,27,F
971,3,27,RF
972,3,26,LF
973,4,26,LF
974,4,27,RRF
975,4,26,LF
976,5,26,RRF
977,4,26,LF
978,4,25,LF
979,5,25,F
980,6,25,LF
981,6,26,RRF
982,6,25,F
983,6,24,F
984,6,23,LF
985,7,23,RRF
986,6,23,LF
987,6,22,RF
988,5,22,LF
989,5,21,LF
990,6,21,RRF
991,5,21,LF
992,5,20,LF
993,6,20,RF
994,6,19,LF
995,7,19,LF
996,7,20,RRF
997,7,19,LF
998,8,19,LF
999,8,20,F
1000,8,21,F
1001,8,22,LF
1002,7,22,LF
1003,7,21,RRF
1004,7,22,RF
1005,8,22,RF
1006,8,21,LF
1007,9,21,LF
1008,9,22,F
1009,9,23,LF
1010,8,23,RF
1011,8,24,LF
1012,7,24,RRF
1013,8,24,LF
1014,8,25,LF
1015,7,25,RF
1016,7,26,F
1017,7,27,LF
1018,6,27,RF
1019,6,28,LF
1020,5,28,LF
1021,5,27,RRF
1022,5,28,LF
1023,4,28,RF
1024,4,29,F
1025,4,30,RF
1026,5,30,LF
1027,5,31,F
1028,5,32,LF
1029,4,32,F
1030,3,32,F
1031,2,32,LF
1032,2,31,LF
1033,3,31,F
1034,4,31,RRF
1035,3,31,F
1036,2,31,LF
1037,2,30,LF
1038,3,30,RRF
1039,2,30,LF
1040,2,29,LF
1041,3,29,RRF
1042,2,29,RF
1043,2,30,F
1044,2,31,F
1045,2,32,LF
1046,1,32,LF
1047,1,31,F
1048,1,30,RF
1049,0,30,LF
1050,0,29,RRF
1051,0,30,RF
1052,1,30,LF
1053,1,31,LF
1054,0,31,RF
1055,0,32,RRF
1056,0,31,LF
1057,1,31,LF
1058,1,32,F
1059,1,33,LF
1060,0,33,RRF
1061,1,33,LF
1062,1,34,F
1063,1,35,RRF
1064,1,34,LF
1065,2,34,RRF
1066,1,34,LF
1067,1,33,F
1068,1,32,LF
1069,2,32,F
1070,3,32,LF
1071,3,33,LF
1072,2,33,RRF
1073,3,33,RF
1074,3,32,LF
1075,4,32,F
1076,5,32,LF
1077,5,33,LF
1078,4,33,RF
1079,4,34,LF
1080,3,34,RF
1081,3,35,LF
1082,2,35,RRF
1083,3,35,F
1084,4,35,LF
1085,4,36,LF
1086,3,36,F
1087,2,36,RF
1088,2,37,RRF
1089,2,36,LF
1090,3,36,LF
1091,3,37,RRF
1092,3,36,LF
1093,4,36,LF
1094,4,37,F
1095,4,38,LF
1096,3,38,F
1097,2,38,F
1098,1,38,F
1099,0,38,LF
1100,0,37,LF
1101,1,37,RF
1102,1,36,RRF
1103,1,37,LF
1104,0,37,LF
1105,0,36,F
1106,0,35,F
1107,0,34,RRF
1108,0,35,F
1109,0,36,F
1110,0,37,F
1111,0,38,F
1112,0,39,RRF
1113,0,38,LF
1114,1,38,LF
1115,1,39,F
1116,1,40,LF
1117,0,40,RRF
1118,1,40,F
1119,2,40,LF
1120,2,41,LF
1121,1,41,F
1122,0,41,RF
1123,0,42,F
1124,0,43,F
1125,0,44,F
1126,0,45,F
1127,0,46,RRF
1128,0,45,F
1129,0,44,LF
1130,1,44,LF
1131,1,45,RF
1132,2,45,F
1133,3,45,RRF
1134,2,45,LF
1135,2,44,RRF
1136,2,45,LF
1137,1,45,LF
1138,1,44,RF
1139,0,44,LF
1140,0,43,LF
1141,1,43,F
1142,2,43,F
1143,3,43,LF
1144,3,44,RRF
1145,3,43,RF
1146,2,43,F
1147,1,43,F
1148,0,43,LF
1149,0,42,F
1150,0,41,LF
1151,1,41,LF
1152,1,42,RRF
1153,1,41,LF
1154,2,41,LF
